"Age","LoanAmount","CreditScore","MonthsEmployed","NumCreditLines","InterestRate","LoanTerm","Education","EmploymentType","MaritalStatus","HasCoSigner","Default","Income100k"
63,233764,677,33,1,24.54,24,"PhD","Full-time","Single","No",0,0.51148
32,115654,362,15,1,23.12,36,"Bachelor's","Self-employed","Married","No",1,0.34136
35,68801,300,50,2,10.78,36,"PhD","Full-time","Single","Yes",0,0.19108
47,130830,692,65,3,12.55,36,"Bachelor's","Unemployed","Married","No",0,0.5593
41,56692,510,52,2,2.87,36,"PhD","Full-time","Divorced","No",0,0.53799
58,227337,583,1,2,14.14,36,"High School","Self-employed","Divorced","Yes",1,0.28356
57,184864,611,89,4,16.43,12,"PhD","Unemployed","Divorced","No",0,1.38389
54,152248,683,118,4,14.19,48,"High School","Part-time","Married","No",0,1.29608
65,223091,829,10,3,23.6,24,"Bachelor's","Self-employed","Married","No",0,0.2596
46,22735,804,98,4,11.35,48,"High School","Part-time","Married","Yes",0,1.44544
41,152410,420,115,1,23.18,24,"Master's","Part-time","Divorced","No",0,0.78655
32,55492,750,14,4,10.35,24,"High School","Part-time","Married","No",0,1.46639
24,148167,327,82,1,7.18,12,"Bachelor's","Unemployed","Divorced","Yes",0,0.69905
50,220135,393,111,3,7.52,24,"High School","Full-time","Married","Yes",0,0.49243
63,64874,709,24,4,8.35,36,"High School","Part-time","Divorced","Yes",0,1.04263
22,215746,502,32,2,10.07,24,"PhD","Self-employed","Divorced","Yes",1,1.15926
39,128148,540,62,1,19.2,12,"PhD","Part-time","Divorced","Yes",0,0.637
69,240889,759,65,1,7.75,36,"PhD","Self-employed","Divorced","No",0,1.46507
66,235023,425,46,1,18.98,12,"High School","Full-time","Married","Yes",0,1.19413
62,82976,718,58,4,14.79,24,"Master's","Unemployed","Divorced","Yes",0,0.99499
20,224161,455,112,1,23.94,12,"Master's","Full-time","Single","Yes",0,0.64404
36,220050,419,117,2,17.57,24,"Bachelor's","Full-time","Single","No",0,0.91809
40,72364,594,40,4,10.85,36,"High School","Part-time","Divorced","Yes",0,0.68034
38,128840,806,117,2,9.72,24,"High School","Part-time","Single","Yes",0,0.29799
46,33030,839,101,2,14.53,12,"Master's","Self-employed","Married","No",0,0.87218
31,116430,301,59,1,8.87,36,"PhD","Self-employed","Divorced","No",0,1.28325
47,230127,475,116,2,14.59,12,"Bachelor's","Part-time","Married","Yes",0,0.46962
53,226144,340,116,4,13.95,36,"High School","Unemployed","Married","No",0,1.33209
62,220698,439,84,1,10.87,24,"Bachelor's","Self-employed","Single","No",0,1.12434
25,112171,404,63,3,23.28,60,"Master's","Full-time","Married","Yes",0,0.31268
67,70385,394,79,3,20.38,24,"Master's","Full-time","Single","Yes",0,0.47091
33,15076,315,68,1,11.59,36,"PhD","Unemployed","Divorced","Yes",0,0.43089
59,15979,303,31,2,20,12,"PhD","Full-time","Divorced","No",1,0.78301
56,249337,566,72,4,21.47,24,"PhD","Full-time","Married","No",0,0.8888
55,117361,693,65,1,13.38,60,"High School","Self-employed","Single","No",0,0.77279
37,23979,462,35,4,3.35,24,"Bachelor's","Unemployed","Married","No",0,0.25964
23,76188,618,25,4,11.3,12,"High School","Self-employed","Divorced","No",1,0.76138
62,237476,739,105,2,22.3,12,"Bachelor's","Part-time","Divorced","Yes",0,0.39228
18,240736,393,18,1,14.06,12,"Master's","Full-time","Divorced","Yes",0,0.59794
61,88161,446,2,1,4.54,36,"High School","Full-time","Divorced","No",0,1.26807
19,111703,664,4,2,8.38,60,"PhD","Self-employed","Single","No",0,0.4475
46,32206,631,59,1,10.35,36,"High School","Full-time","Single","No",0,0.65117
66,167214,693,12,2,17.93,48,"PhD","Full-time","Divorced","No",1,0.65905
39,63705,672,116,2,20.25,36,"PhD","Unemployed","Single","No",0,1.4918
44,158600,703,73,4,13.98,60,"Master's","Part-time","Single","No",0,0.77217
59,83974,338,72,3,20.77,12,"High School","Self-employed","Single","Yes",0,0.23129
29,142122,357,113,2,8.76,24,"Master's","Full-time","Married","No",0,0.67892
55,183967,612,3,2,5.73,36,"High School","Full-time","Married","No",0,0.70338
25,87912,626,47,4,23.43,48,"PhD","Self-employed","Single","Yes",0,0.22551
55,27702,802,114,4,15.53,60,"PhD","Full-time","Divorced","Yes",0,0.53184
69,102962,306,47,4,2.03,60,"PhD","Self-employed","Married","No",0,0.90087
36,154579,488,7,1,2.54,48,"PhD","Full-time","Divorced","No",1,0.30834
22,103835,584,13,4,15.53,48,"High School","Unemployed","Divorced","No",0,1.1913
64,42925,796,108,2,11.9,36,"Bachelor's","Part-time","Single","No",0,1.36997
22,220404,473,68,4,11.36,12,"PhD","Part-time","Married","Yes",0,1.0007
59,73014,479,47,3,2.78,24,"PhD","Self-employed","Divorced","No",0,1.49551
59,31267,396,61,1,6.54,48,"Master's","Unemployed","Single","Yes",0,0.90914
34,199069,589,47,1,5.88,24,"PhD","Unemployed","Married","No",0,1.15817
62,92680,705,95,2,24.01,48,"Master's","Full-time","Married","No",0,0.88271
33,122511,663,119,2,8.8,60,"Bachelor's","Self-employed","Divorced","No",0,0.25711
41,35762,601,2,3,13.55,36,"Bachelor's","Unemployed","Married","No",1,0.47136
63,111032,789,69,3,14.13,48,"High School","Full-time","Single","Yes",0,0.55485
60,111296,441,84,2,18.89,60,"Master's","Self-employed","Single","No",0,0.99088
68,144639,801,106,1,12.46,48,"Bachelor's","Self-employed","Divorced","Yes",0,0.90932
21,59960,535,5,2,4.03,48,"High School","Self-employed","Divorced","Yes",0,0.30944
67,36193,570,90,4,17.56,48,"Bachelor's","Full-time","Divorced","No",0,1.01523
34,162401,553,70,3,18.72,48,"Bachelor's","Part-time","Married","No",1,0.4969
58,62185,844,105,4,9.33,36,"High School","Part-time","Divorced","Yes",0,0.30605
39,240801,442,81,4,20.23,12,"PhD","Full-time","Single","No",1,0.86403
39,222319,613,0,1,24.15,48,"High School","Self-employed","Married","Yes",0,0.81113
62,111582,796,46,1,8.73,60,"High School","Unemployed","Single","Yes",0,0.73713
66,214216,512,29,2,18.75,36,"Bachelor's","Unemployed","Divorced","No",0,1.3347
37,187698,826,70,4,18.22,36,"High School","Full-time","Divorced","Yes",0,1.08934
25,238622,844,24,1,8.31,36,"High School","Full-time","Divorced","Yes",0,0.85294
54,171662,668,12,4,8.16,24,"Master's","Unemployed","Single","No",0,0.19921
50,43413,733,86,4,3.16,36,"Bachelor's","Self-employed","Married","No",0,1.30946
35,5684,630,31,2,8.82,36,"PhD","Part-time","Single","No",0,0.33526
38,226544,378,64,1,16.89,12,"PhD","Full-time","Married","No",0,1.30929
34,130761,661,101,3,24.25,24,"PhD","Full-time","Single","No",0,0.20154
60,177749,600,83,3,22.7,60,"PhD","Part-time","Divorced","No",0,0.71204
67,98254,709,30,2,21.2,60,"Bachelor's","Part-time","Single","No",0,0.91218
52,151443,778,1,4,15.6,24,"PhD","Part-time","Single","No",0,0.2961
27,5183,324,14,4,22.6,12,"PhD","Full-time","Single","Yes",0,1.40719
46,231737,578,18,3,3.56,12,"Master's","Part-time","Single","No",0,1.11515
57,197780,731,76,4,18.56,24,"PhD","Part-time","Married","Yes",0,0.60071
24,50444,525,46,4,12.2,48,"Bachelor's","Self-employed","Married","Yes",0,1.02594
39,109591,665,27,1,19.47,12,"Master's","Unemployed","Divorced","Yes",0,0.88987
25,200775,391,9,3,24.17,24,"Master's","Part-time","Single","No",0,0.80344
66,77320,535,30,3,8.09,24,"PhD","Part-time","Married","Yes",0,0.17936
22,155433,615,111,2,9.53,24,"Master's","Self-employed","Married","Yes",0,1.21132
51,39239,829,37,1,17.2,24,"Master's","Full-time","Single","Yes",0,0.35641
38,5462,364,107,4,19,24,"Bachelor's","Self-employed","Divorced","Yes",1,0.57983
58,23268,479,58,2,15.36,24,"PhD","Part-time","Single","No",0,0.21003
51,34090,488,74,4,4.69,60,"PhD","Self-employed","Divorced","No",0,0.38123
62,128385,341,52,3,23.47,12,"High School","Full-time","Single","No",0,0.69539
61,123230,343,105,1,5.12,24,"Master's","Self-employed","Married","Yes",0,0.68049
25,90504,780,13,2,5.66,12,"Bachelor's","Full-time","Married","Yes",0,0.48864
38,106217,719,86,2,16.38,60,"Bachelor's","Full-time","Divorced","No",0,0.5367
57,33379,597,78,4,20.61,36,"PhD","Full-time","Single","Yes",0,1.27428
37,74854,305,57,1,9.96,60,"Master's","Full-time","Single","No",0,0.81923
49,152758,530,47,1,11.56,60,"Bachelor's","Self-employed","Married","No",0,1.36355
30,20986,726,65,2,19.16,36,"High School","Part-time","Divorced","Yes",0,0.3403
53,110352,732,5,1,24.25,36,"Bachelor's","Full-time","Single","No",0,0.81267
69,209992,456,106,3,10.68,36,"Master's","Full-time","Single","Yes",0,1.06907
22,218137,479,17,4,22.86,60,"Bachelor's","Unemployed","Single","No",1,0.38558
66,69812,586,73,1,13.71,24,"Master's","Full-time","Married","Yes",0,1.18664
19,29648,515,52,2,3.28,48,"PhD","Part-time","Married","Yes",0,0.60861
26,144775,511,14,4,24.87,12,"High School","Self-employed","Married","Yes",1,0.47491
30,104577,448,29,3,3.75,12,"High School","Unemployed","Divorced","No",0,1.46439
27,12490,830,10,2,9.4,60,"High School","Full-time","Married","No",0,0.79401
57,85798,847,23,3,16.41,36,"High School","Self-employed","Single","Yes",0,0.68513
46,58269,561,62,3,13.21,36,"PhD","Unemployed","Married","No",0,1.43929
35,98366,797,41,3,20.55,24,"Bachelor's","Full-time","Divorced","Yes",0,1.35544
40,53234,539,18,3,12.83,60,"Master's","Self-employed","Single","No",0,1.30612
51,228689,441,82,2,15.34,24,"Bachelor's","Self-employed","Single","No",0,0.84799
58,45207,645,6,2,14.18,24,"High School","Full-time","Single","Yes",0,1.30663
24,159731,551,76,4,2.88,36,"Master's","Self-employed","Married","Yes",0,0.37839
40,195628,576,48,1,2.2,48,"Bachelor's","Unemployed","Single","No",0,1.47657
60,219961,696,32,4,7.16,36,"Bachelor's","Self-employed","Single","Yes",1,0.26025
33,19376,562,59,1,18.05,12,"PhD","Self-employed","Single","No",0,0.65024
41,116402,670,7,1,14.92,36,"High School","Part-time","Single","No",0,1.21387
36,111890,841,68,3,22.43,48,"High School","Part-time","Divorced","No",0,0.19824
52,191950,404,28,3,23.9,12,"High School","Part-time","Divorced","No",1,0.54242
61,106023,511,82,3,7.19,36,"PhD","Self-employed","Married","Yes",0,0.26526
37,200312,479,112,3,18.48,12,"Bachelor's","Unemployed","Married","No",0,0.2934
67,10258,331,73,3,7.59,36,"Bachelor's","Part-time","Divorced","Yes",0,1.48767
40,239348,439,29,1,18.75,12,"Bachelor's","Full-time","Divorced","No",0,1.27376
24,138353,813,67,3,18.42,36,"High School","Unemployed","Divorced","Yes",0,0.30333
57,248354,692,76,4,19.57,24,"Bachelor's","Full-time","Single","Yes",0,1.47976
31,172573,377,42,3,21.47,24,"Bachelor's","Unemployed","Married","No",0,0.89224
43,222569,405,96,1,7.16,60,"Bachelor's","Full-time","Divorced","Yes",0,0.79254
42,248252,500,63,4,10.57,48,"PhD","Part-time","Single","Yes",0,0.46034
25,54409,328,83,4,14.55,12,"PhD","Unemployed","Married","Yes",0,0.35388
34,170007,604,89,2,12.27,36,"Master's","Part-time","Divorced","Yes",0,1.1949
41,142615,714,58,4,21.48,12,"Bachelor's","Self-employed","Divorced","No",0,0.82648
53,38484,666,44,1,2.12,36,"Bachelor's","Unemployed","Divorced","No",0,0.75619
20,224950,458,35,1,16.86,12,"Bachelor's","Unemployed","Married","Yes",0,0.49684
37,60815,514,46,3,8.41,36,"High School","Part-time","Divorced","No",0,0.73029
50,211095,717,67,2,8.11,24,"PhD","Part-time","Divorced","No",0,1.42343
20,83562,461,45,1,15.43,12,"Bachelor's","Part-time","Divorced","Yes",0,1.10556
32,128053,487,6,1,24.82,60,"Bachelor's","Full-time","Married","No",1,1.12956
68,241104,335,82,4,4.47,12,"Bachelor's","Unemployed","Married","Yes",0,0.70926
30,97983,412,13,4,15.02,24,"Master's","Full-time","Married","Yes",0,0.22968
43,80615,373,67,4,15.62,36,"Master's","Unemployed","Single","Yes",0,0.72147
26,206431,816,105,2,19.65,60,"Master's","Part-time","Divorced","Yes",0,0.3957
45,45741,552,112,1,21.87,60,"Master's","Part-time","Single","No",0,1.33913
57,81798,695,56,1,19.98,36,"PhD","Unemployed","Single","No",0,0.66318
42,127737,306,21,4,4.55,36,"PhD","Unemployed","Single","Yes",0,1.14623
29,158435,474,70,4,6.09,60,"PhD","Full-time","Divorced","Yes",0,0.52568
30,73479,747,40,2,23.74,60,"High School","Part-time","Married","Yes",0,0.68804
31,96284,549,110,1,15.7,48,"Bachelor's","Part-time","Divorced","Yes",0,1.42061
50,151163,400,103,1,19.27,60,"Bachelor's","Unemployed","Single","Yes",0,1.27736
61,157458,748,19,1,24.46,12,"PhD","Unemployed","Divorced","No",0,0.7532
21,169806,695,106,3,17.28,24,"Master's","Unemployed","Single","Yes",0,0.72105
50,50363,621,83,3,23.22,12,"Master's","Full-time","Married","Yes",0,0.65078
39,203638,532,6,4,23.73,36,"PhD","Full-time","Single","No",0,1.33158
31,144721,321,63,3,5.12,60,"Master's","Full-time","Married","Yes",0,0.87631
69,200573,684,90,4,19.7,36,"Bachelor's","Part-time","Divorced","Yes",0,0.96834
68,41128,635,51,2,15.58,36,"Bachelor's","Full-time","Divorced","No",0,0.34578
31,124270,599,15,2,2.24,36,"High School","Unemployed","Divorced","Yes",1,0.36311
19,65801,668,100,2,13.44,12,"High School","Full-time","Divorced","No",0,0.79608
50,117725,319,71,3,14.22,12,"Master's","Unemployed","Single","No",0,0.5553
29,129598,839,27,1,19.15,60,"Master's","Full-time","Married","Yes",0,0.74948
45,60428,433,77,2,17.37,24,"High School","Full-time","Married","Yes",0,0.91802
63,154926,714,43,4,18.97,36,"High School","Self-employed","Divorced","Yes",0,0.38038
50,139125,372,101,2,18.64,24,"Master's","Full-time","Single","Yes",0,0.33414
47,181970,327,104,4,4.67,48,"PhD","Self-employed","Single","Yes",0,0.17125
68,45894,750,9,2,14.16,12,"Master's","Full-time","Single","Yes",0,0.92595
37,200831,351,55,3,11.25,24,"Bachelor's","Unemployed","Single","No",0,1.30088
19,64199,561,43,1,14.32,48,"High School","Part-time","Married","Yes",0,1.36782
57,210424,361,81,1,11.26,12,"High School","Part-time","Single","Yes",0,0.84725
64,70107,526,13,1,2.85,24,"PhD","Unemployed","Divorced","No",0,1.1579
66,43684,766,35,4,15.73,48,"PhD","Part-time","Married","No",0,1.43331
30,170498,383,10,3,10.35,12,"PhD","Part-time","Divorced","No",0,0.98618
34,173399,648,103,3,20.75,60,"High School","Self-employed","Single","No",0,0.74212
20,42841,579,99,3,21.56,48,"Bachelor's","Self-employed","Divorced","Yes",0,0.20595
68,32700,399,43,4,15.6,24,"High School","Unemployed","Divorced","Yes",0,0.60505
61,163218,422,15,4,6.38,60,"Bachelor's","Full-time","Single","Yes",0,0.55177
39,79569,443,101,3,20.31,60,"Master's","Full-time","Single","No",0,0.37574
24,180423,659,69,1,16.53,60,"Master's","Part-time","Married","Yes",0,0.56225
50,231706,624,84,3,20.24,36,"Master's","Unemployed","Single","Yes",0,0.24427
32,102522,431,50,3,21.81,12,"Bachelor's","Part-time","Married","No",1,1.42699
62,63052,711,92,4,3.23,36,"Bachelor's","Part-time","Single","No",0,1.38143
43,227205,343,1,4,6.46,24,"PhD","Self-employed","Married","Yes",0,0.33029
45,241047,353,106,3,18.03,36,"Master's","Self-employed","Married","No",0,0.46971
34,21775,504,47,2,22.43,24,"PhD","Unemployed","Divorced","No",0,0.62129
36,46662,768,65,4,5.5,36,"PhD","Part-time","Married","No",0,0.85001
20,126306,600,28,3,16.56,36,"Bachelor's","Full-time","Divorced","Yes",0,1.44065
37,192936,661,4,1,12.3,36,"Master's","Part-time","Married","No",0,1.21784
43,140937,510,112,4,14.78,48,"Bachelor's","Self-employed","Single","Yes",0,0.53054
26,27017,524,44,4,5.73,12,"Bachelor's","Part-time","Married","Yes",0,1.19145
34,117393,599,103,4,16.37,60,"High School","Part-time","Single","No",0,0.25104
61,22590,808,41,1,2.28,24,"Master's","Part-time","Single","Yes",0,1.24736
46,243965,759,56,2,8.57,36,"PhD","Full-time","Single","No",0,0.79209
57,6914,490,38,4,14.62,24,"Master's","Part-time","Single","Yes",0,0.17136
53,164064,490,31,4,22.2,48,"PhD","Full-time","Single","No",0,1.23224
36,120260,422,68,2,3.83,12,"Master's","Full-time","Divorced","Yes",0,1.30817
39,59143,400,62,1,17.55,12,"PhD","Full-time","Single","No",0,1.46337
22,8297,418,36,3,9.26,60,"Master's","Self-employed","Married","No",1,1.24187
44,244921,460,10,1,15.26,24,"PhD","Part-time","Divorced","No",0,0.57202
58,198156,682,59,4,23.82,24,"PhD","Full-time","Married","Yes",0,0.90895
45,228741,303,109,4,10.92,12,"Master's","Part-time","Married","No",0,1.46125
50,143283,476,52,2,3.57,48,"Master's","Unemployed","Divorced","No",0,1.17089
48,158148,719,58,1,21.76,48,"PhD","Self-employed","Married","Yes",0,0.24884
36,41387,572,109,3,3.08,24,"Bachelor's","Self-employed","Married","No",0,0.47001
18,72345,605,72,4,23.43,24,"Master's","Full-time","Single","No",0,1.47012
51,231136,746,119,3,19.84,24,"PhD","Unemployed","Divorced","Yes",0,1.06457
63,97068,840,10,2,21.13,36,"Bachelor's","Unemployed","Married","No",0,1.02354
28,24871,846,27,1,11.75,48,"Master's","Self-employed","Married","No",0,1.07304
37,128119,808,118,3,11.96,12,"Bachelor's","Part-time","Divorced","No",0,0.35978
64,71776,806,17,2,8.6,60,"High School","Unemployed","Single","Yes",0,0.92041
63,27814,796,0,1,19.93,36,"Master's","Part-time","Divorced","Yes",0,0.89502
65,190337,631,78,4,15.99,24,"High School","Unemployed","Divorced","No",0,0.75448
50,219615,468,35,3,3.69,36,"Master's","Unemployed","Divorced","Yes",0,0.66107
36,11723,747,35,4,7.67,12,"Master's","Self-employed","Married","Yes",0,0.52925
43,68540,460,104,1,13.48,48,"PhD","Full-time","Single","Yes",0,0.79415
48,156538,373,53,1,20.85,24,"High School","Part-time","Divorced","No",0,0.51468
60,132749,335,15,1,4.13,24,"High School","Self-employed","Single","Yes",0,1.18203
67,67678,520,78,3,6.76,24,"Master's","Full-time","Divorced","Yes",0,1.46231
54,173471,701,65,2,18.73,60,"High School","Part-time","Single","Yes",0,0.28324
28,61374,359,40,4,14.26,12,"PhD","Full-time","Married","Yes",0,1.44811
42,224500,731,43,4,16.52,48,"Master's","Full-time","Divorced","Yes",0,0.49356
27,176200,523,75,1,19.79,48,"High School","Full-time","Married","No",0,1.17871
34,118268,797,117,1,13.95,48,"Bachelor's","Part-time","Single","No",0,0.19981
49,32541,362,71,1,10.84,12,"PhD","Unemployed","Single","Yes",0,0.678
43,52923,606,64,1,2.06,24,"Master's","Self-employed","Married","No",0,0.2868
58,7428,457,37,3,15.56,36,"Bachelor's","Full-time","Married","Yes",0,1.00134
30,157640,304,37,1,6.6,12,"PhD","Part-time","Married","Yes",0,0.99273
43,225577,614,70,1,14.15,48,"High School","Full-time","Married","Yes",0,0.82086
27,54068,755,86,3,23.77,12,"PhD","Unemployed","Single","Yes",0,1.46214
63,65178,672,108,1,14.4,36,"PhD","Full-time","Single","Yes",0,1.0305
69,197550,841,90,3,7.8,60,"Master's","Full-time","Divorced","Yes",0,0.68027
49,44357,544,11,1,4.03,48,"High School","Full-time","Divorced","Yes",0,0.33672
30,92823,520,78,2,3.85,24,"PhD","Unemployed","Single","Yes",0,0.65206
59,27510,603,78,1,23.42,12,"Bachelor's","Unemployed","Divorced","No",0,1.10702
41,233591,728,112,1,14.35,24,"Bachelor's","Self-employed","Divorced","Yes",0,0.77459
22,94619,687,58,3,21.1,60,"PhD","Unemployed","Single","Yes",0,0.69878
52,185042,709,75,1,2.3,12,"High School","Full-time","Married","Yes",0,1.302
43,245367,532,119,4,12.14,12,"Master's","Unemployed","Married","No",0,0.4725
37,95632,613,35,2,17.54,12,"PhD","Unemployed","Single","No",0,1.29302
41,134529,773,76,1,14.75,60,"High School","Unemployed","Divorced","Yes",0,0.73393
56,86765,361,34,3,16.64,36,"PhD","Self-employed","Married","Yes",0,0.48517
41,177982,405,1,2,2.63,48,"PhD","Self-employed","Married","Yes",0,1.47317
34,220055,609,109,4,5.19,36,"High School","Full-time","Single","No",0,1.3038
29,76872,509,36,2,5.18,48,"Master's","Unemployed","Married","Yes",0,1.3732
30,249878,787,116,3,3.63,48,"High School","Full-time","Single","No",0,0.68805
30,136511,451,110,1,22.98,48,"Bachelor's","Self-employed","Divorced","No",0,0.23866
28,65102,357,108,2,21.61,12,"High School","Self-employed","Married","Yes",0,0.82889
60,112725,430,51,1,6.87,12,"Master's","Self-employed","Married","Yes",0,0.81875
20,209277,610,26,4,17.54,24,"PhD","Part-time","Single","Yes",0,0.63116
49,101272,303,72,4,7.55,12,"High School","Unemployed","Single","Yes",0,0.19333
36,171786,482,94,1,15.8,36,"PhD","Part-time","Divorced","No",0,0.80265
43,70109,394,81,3,22.96,24,"Bachelor's","Part-time","Single","No",1,0.43066
58,206264,764,16,1,12.04,12,"Master's","Full-time","Married","No",0,0.89461
35,99286,510,47,1,11.16,12,"PhD","Part-time","Divorced","Yes",0,0.8229
56,117076,453,66,1,22.39,12,"Master's","Self-employed","Married","No",0,0.80592
27,113831,682,92,3,23.15,24,"Master's","Self-employed","Single","No",0,0.58624
60,248691,771,15,2,2.34,60,"Bachelor's","Part-time","Single","Yes",0,0.75406
36,204379,586,111,4,24.36,48,"PhD","Self-employed","Married","Yes",0,1.04401
51,24285,815,38,4,11.86,48,"PhD","Self-employed","Married","Yes",0,1.29581
29,239039,540,44,1,4.14,12,"Bachelor's","Self-employed","Married","Yes",0,0.71059
33,34356,572,95,3,16.23,48,"High School","Self-employed","Single","Yes",0,0.85758
33,7740,348,12,2,3.12,60,"Bachelor's","Self-employed","Single","Yes",0,0.2286
68,192176,343,38,4,19.55,60,"High School","Self-employed","Divorced","No",0,1.0575
32,104962,301,89,2,19.69,48,"PhD","Full-time","Single","Yes",0,0.44487
33,113727,565,94,1,18.2,48,"Bachelor's","Unemployed","Single","Yes",0,0.19726
42,140753,750,90,4,15.13,60,"PhD","Self-employed","Single","No",0,1.36117
25,17436,303,52,1,4.56,12,"Master's","Self-employed","Single","Yes",0,0.49515
38,187544,842,117,2,16.99,60,"High School","Self-employed","Single","No",0,0.98752
61,24614,646,35,1,17.53,12,"Master's","Self-employed","Single","No",0,1.11397
52,124763,454,106,4,16.7,48,"PhD","Self-employed","Single","No",0,0.79439
49,207468,369,46,2,20.34,12,"Master's","Full-time","Married","No",0,1.14983
32,143544,534,118,4,17.44,48,"Bachelor's","Unemployed","Divorced","No",0,0.33046
28,137960,437,7,3,23.01,60,"High School","Self-employed","Divorced","No",1,0.16315
52,57771,671,75,2,21.93,60,"Bachelor's","Full-time","Single","Yes",0,0.15509
45,236019,449,47,3,15.06,36,"Master's","Full-time","Divorced","Yes",0,0.55433
55,181331,671,105,2,7.71,24,"Master's","Unemployed","Married","Yes",0,0.32387
20,86058,572,5,4,12.04,60,"High School","Unemployed","Single","Yes",0,1.44339
18,160111,521,109,3,9.53,36,"Master's","Part-time","Divorced","Yes",0,1.09896
35,107476,397,91,2,19.32,36,"Master's","Unemployed","Married","No",0,0.89994
33,116343,312,7,1,20.45,36,"PhD","Full-time","Single","No",0,1.3278
46,112224,698,92,2,22.49,60,"Master's","Full-time","Married","Yes",0,1.42219
46,46912,457,82,1,15.11,12,"Bachelor's","Self-employed","Single","Yes",0,0.73628
33,112010,308,15,4,11.29,36,"PhD","Part-time","Married","No",0,0.68812
66,141738,513,32,2,21.19,60,"Master's","Part-time","Divorced","Yes",0,0.56648
30,182314,669,84,4,21.42,24,"Master's","Full-time","Single","No",1,0.33251
49,87648,464,84,4,21.61,12,"High School","Self-employed","Divorced","No",0,0.3848
69,211230,724,114,1,4.85,48,"Master's","Full-time","Single","No",0,0.97999
68,232204,616,74,1,14.51,60,"Bachelor's","Part-time","Divorced","Yes",0,1.48242
26,226551,658,39,4,24.46,24,"High School","Unemployed","Married","Yes",0,0.20184
25,202564,733,0,1,14.89,60,"PhD","Part-time","Married","No",1,1.27325
32,130901,766,94,4,15.28,48,"PhD","Unemployed","Married","No",0,0.98447
21,122294,590,29,2,16.12,24,"PhD","Part-time","Single","Yes",0,1.06535
48,211482,580,74,3,2.22,48,"PhD","Self-employed","Single","No",0,0.17289
51,71132,826,72,4,2.66,12,"Master's","Full-time","Single","Yes",0,1.15976
26,134795,605,27,1,5.87,60,"Bachelor's","Part-time","Single","No",0,0.34596
50,68559,425,53,4,12.19,24,"High School","Part-time","Single","Yes",1,1.47094
43,98444,478,4,4,3.73,24,"High School","Full-time","Divorced","No",0,0.6315
57,67272,445,117,4,18.35,60,"Bachelor's","Full-time","Single","No",0,0.57607
66,70107,770,77,3,14.46,60,"Master's","Full-time","Divorced","Yes",0,1.25973
63,107983,342,67,3,12.39,48,"Master's","Self-employed","Married","Yes",0,0.76855
69,14648,810,0,1,17.5,60,"PhD","Full-time","Single","Yes",0,0.21811
50,222492,700,108,4,12.07,24,"PhD","Part-time","Single","Yes",0,1.38418
52,187532,380,68,2,5.2,12,"High School","Self-employed","Married","Yes",0,1.1684
31,35326,355,6,3,12.69,12,"PhD","Part-time","Divorced","No",0,0.79291
64,137034,596,105,2,20.43,36,"PhD","Unemployed","Divorced","No",0,1.49239
46,87083,495,52,3,20.32,48,"High School","Full-time","Divorced","No",1,0.16398
62,123860,328,86,4,9.99,36,"High School","Unemployed","Divorced","Yes",0,1.45341
39,131463,350,71,1,8.87,36,"PhD","Self-employed","Divorced","No",0,1.41732
24,170040,696,110,1,4.53,36,"PhD","Full-time","Married","Yes",0,0.4691
26,25439,462,116,2,15.13,48,"Bachelor's","Unemployed","Divorced","No",0,1.00865
24,9665,358,16,1,24.63,60,"PhD","Unemployed","Married","Yes",0,1.4338
48,18013,558,63,1,12.89,24,"High School","Part-time","Single","Yes",0,1.15527
35,225810,847,70,1,2.46,24,"PhD","Self-employed","Married","No",0,0.57294
37,44045,750,106,3,16.69,60,"PhD","Unemployed","Single","No",0,0.88701
31,5318,595,95,2,10.97,36,"Master's","Unemployed","Married","Yes",0,1.31559
32,129661,707,101,4,18.17,12,"PhD","Part-time","Divorced","Yes",0,0.61588
64,65821,387,64,4,19.14,12,"PhD","Full-time","Married","Yes",0,1.17475
38,82417,804,36,4,7.93,36,"High School","Unemployed","Single","No",0,0.58371
42,191575,394,71,4,12.41,48,"High School","Part-time","Single","Yes",0,0.4025
51,158019,380,84,4,20.48,60,"High School","Full-time","Divorced","Yes",0,1.18611
58,68164,487,7,3,23.98,12,"PhD","Self-employed","Single","Yes",0,1.17001
20,220905,729,84,3,13.58,36,"Bachelor's","Unemployed","Married","Yes",0,0.98789
30,50358,556,33,1,24.74,24,"High School","Unemployed","Married","No",1,0.40147
69,128906,712,90,4,9.6,24,"Bachelor's","Unemployed","Divorced","No",0,0.80332
35,135768,633,68,3,7.31,48,"High School","Self-employed","Married","Yes",0,1.34148
47,208550,617,89,1,16.62,12,"Master's","Full-time","Divorced","Yes",1,1.05298
47,125767,369,103,2,5.31,24,"Master's","Self-employed","Married","No",1,1.23429
19,150979,450,45,3,16.54,48,"Bachelor's","Unemployed","Married","No",1,0.55009
28,177395,342,102,2,6.79,60,"Bachelor's","Self-employed","Married","No",0,1.15177
24,41576,518,98,4,14.62,60,"Bachelor's","Full-time","Single","No",0,0.40775
44,29451,844,21,4,16.73,12,"High School","Part-time","Single","No",0,1.4099
27,242669,632,114,2,19.23,24,"PhD","Self-employed","Divorced","No",1,0.99289
35,69289,821,38,1,3.27,24,"Bachelor's","Part-time","Married","No",0,0.26483
